Phase,Activity,Interactivity type,Learning type,Social level,Indicators,Monitored resources ans actions,Constraint type,Students or groups evaluated,Evidences,,,,Problems,,,,TOTAL,,,,%,,,,TOTAL (Distance),,,,%,,,,TOTAL (Blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (computer-mediated),,,,%,,,,TOTAL (blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (activity),,,,%,,,
,,,,,,,,,Detected,Real,Known,Useful,Detected,Real,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful
Jigsaw,"Activity 3.1
Selection of methods
(monitored)",Computer-mediated,Distance,Jigsaw group,1) Groups participation,* Accesses to GForms,activity,4,4,3,0,3,0,1,0,0,3,1,0,3,75,25,0,75,3,1,0,3,75,25,0,75,,,,,,,,,,,,,,,,,3,1,0,3,75,25,0,75,,,,,,,,,,,,,,,,,3,1,0,3,75,25,0,75,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,3,75,25,0,75,,,,,,,,,3,1,0,3,75,25,0,75
,"Activity 3.2
Poster development
(monitored)",Blended,Distace,Jigsaw group,1) Groups participation,* Uploads in MediaWiki,activity,4,3,3,3,3,1,1,1,1,4,0,4,4,100,0,100,100,4,0,4,4,100,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,4,100,0,100,100,,,,,,,,,4,0,4,4,100,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,4,100,0,100,100,,,,,,,,,8,0,8,8,100,0,100,100
,,,,,2) Impact on future activities (peer review),,pattern,4,3,3,3,3,1,1,1,1,4,0,4,4,100,0,100,100,4,0,4,4,100,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,4,100,0,100,100,,,,,,,,,,,,,,,,,4,0,4,4,100,0,100,100,,,,,,,,,,,,,,,,,4,0,4,4,100,0,100,100,,,,,,,,,,,,,,,,
,"Activity 3.3
Peer review
(monitored)",Computer-mediated,Distance,Individual,1) Individual participation,* Editions/uploads in MediaWiki,pattern,14,13,13,0,13,1,1,1,0,14,0,1,13,100,0,7.142857143,92.85714286,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,,,,,,,,,18,0,5,17,100,0,27.77777778,94.44444444
,,,,,2) Impact on future activities (lack of reviews),,pattern,4,4,4,4,4,0,0,0,0,4,0,4,4,100,0,100,100,4,0,4,4,100,0,100,100,,,,,,,,,,,,,,,,,4,0,4,4,100,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,4,100,0,100,100,4,0,4,4,100,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Activity 3.4
Posters presentation
(monitored)",Face-to-face,Face-to-face,Whole class,1) Individual participation,* Attendance to the lab session,activity,14,13,13,13,0,1,1,1,0,14,0,14,0,100,0,100,0,,,,,,,,,,,,,,,,,14,0,14,0,100,0,100,0,,,,,,,,,,,,,,,,,14,0,14,0,100,0,100,0,14,0,14,0,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,14,0,100,0,100,0,14,0,14,0,100,0,100,0
,"Activity 3.5
Workgroup report
(monitored)",Computer-mediated,Distance,Jigsaw group,1) Groups participation,* Accesses to GForms,activity,4,4,4,4,4,0,0,0,0,4,0,4,4,100,0,100,100,4,0,4,4,100,0,100,100,,,,,,,,,,,,,,,,,4,0,4,4,100,0,100,100,,,,,,,,,,,,,,,,,4,0,4,4,100,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,4,100,0,100,100,,,,,,,,,4,0,4,4,100,0,100,100
,"Activity 3.6
Peer evaluation
(monitored)",Computer-mediated,Blended,Individual,1) Individual participation,* Accesses to GForms,activity,14,10,10,0,10,4,4,1,3,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286
,,,,,,,,113,98,97,41,84,15,16,8,10,112,1,49,94,99.12,0.88,43.36,83.19,60,1,21,58,98.36065574,1.639344262,34.42622951,95.08196721,38,0,14,36,100,0,36.84210526,94.73684211,14,0,14,0,100,0,100,0,66,1,14,63,98.50746269,1.492537313,20.89552239,94.02985075,32,0,21,31,100,0,65.625,96.875,14,0,14,0,100,0,100,0,76,1,40,59,98.70,1.30,51.95,76.62,36,0,9,35,100.00,0.00,25.00,97.22,56,0,7,53,#REF!,#REF!,#REF!,#REF!,27,0,16,26,#REF!,#REF!,#REF!,#REF!,15,1,12,15,#REF!,#REF!,#REF!,#REF!,14,0,14,0,#REF!,#REF!,#REF!,#REF!,112,1,49,94,#REF!,#REF!,#REF!,#REF!
,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
