Phase,Activity,Interactivity type,Learning type,Social level,Indicators,Monitored resources ans actions,Constraint type,"Students, groups or resources evaluated",Evidences,,,,Problems,,,,TOTAL,,,,%,,,,TOTAL (Distance),,,,%,,,,TOTAL (Blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (computer-mediated),,,,%,,,,TOTAL (blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (conditions per activity),,,,%,,,
,,,,,,,,,Detected,Real,Known,Useful,Detected,Real,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful
Phase1 Role-playing,"Activity 1.1
,"Activity2.2
Answer to the reviewers
(monitored)",Computer-mediated,Distance,Group,1) Individual participation,"* Accesses to the videos
* Accesses to GDocs",activity,60,56,56,0,56,4,4,0,4,60,0,0,60,100,0,0,100,60,0,0,60,100,0,0,100,,,,,,,,,,,,,,,,,60,0,0,60,100,0,0,100,,,,,,,,,,,,,,,,,60,0,0,60,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,60,0,0,60,100,0,0,100,,,,,,,,,108,0,2,108,100,0,1.851851852,100
,,,,,2) Collaboration,,activity,16,15,15,0,15,1,1,0,1,16,0,0,16,100,0,0,100,16,0,0,16,100,0,0,100,,,,,,,,,,,,,,,,,16,0,0,16,100,0,0,100,,,,,,,,,,,,,,,,,16,0,0,16,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,16,0,0,16,100,0,0,100,,,,,,,,,,,,,,,,
,,,,,3) Use of resources,,activity,32,25,25,0,25,7,7,2,7,32,0,2,32,100,0,6.25,100,32,0,2,32,100,0,6.25,100,,,,,,,,,,,,,,,,,32,0,2,32,100,0,6.25,100,,,,,,,,,,,,,,,,,32,0,2,32,100,0,6.25,100,,,,,,,,,,,,,,,,,,,,,,,,,32,0,2,32,100,0,6.25,100,,,,,,,,,,,,,,,,
,"Activity 2.3
Workgroup report
(monitored)",Computer-mediated,Distance,Group,1) Individual participation,*Student reports,activity,60,56,56,4,56,4,4,4,4,60,0,8,60,100,0,13.33333333,100,60,0,8,60,100,0,13.33333333,100,,,,,,,,,,,,,,,,,60,0,8,60,100,0,13.33333333,100,,,,,,,,,,,,,,,,,60,0,8,60,100,0,13.33333333,100,,,,,,,,,,,,,,,,,,,,,,,,,60,0,8,60,100,0,13.33333333,100,,,,,,,,,76,0,9,76,100,0,11.84210526,100
,,,,,2) Collaboration,,activity,16,15,15,0,15,1,1,1,1,16,0,1,16,100,0,6.25,100,16,0,1,16,100,0,6.25,100,,,,,,,,,,,,,,,,,16,0,1,16,100,0,6.25,100,,,,,,,,,,,,,,,,,16,0,1,16,100,0,6.25,100,,,,,,,,,,,,,,,,,,,,,,,,,16,0,1,16,100,0,6.25,100,,,,,,,,,,,,,,,,
,,,,,,,,448,431,431,186,371,17,17,7,17,448,0,193,388,100,0,43.08035714,86.60714286,248,0,11,248,3.225806452,0,0.1041666667,3.225806452,108,0,90,108,3.703703704,0,2.74691358,3.703703704,92,0,92,32,3.260869565,0,3.260869565,2.173913043,248,0,11,248,3.225806452,0,0.1041666667,3.225806452,108,0,90,108,3.703703704,0,2.74691358,3.703703704,92,0,92,32,3.260869565,0,3.260869565,2.173913043,368,0,129,308,2.717391304,0,0.6046195652,2.445652174,80,0,64,80,6.25,0,5,6.25,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,356,0,101,356,3.370786517,0,0.9058988764,3.370786517,92,0,92,32,3.260869565,0,3.260869565,2.173913043,448,0,193,388,5.434782609,0,2.141600983,4.725897921
,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
